Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Spot Up,23.2%,18.7,18,0.962,24%,Below Average,9.6,6.3,15.9,39.9%,52.3%,10.5%,5%,4.4%,"38.2%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Transition,15.8%,12.7,11.9,0.936,71%,Very Good,4.7,4.3,9,48.1%,53.5%,17.2%,15.1%,11.9%,"43.6%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,P&R Ball Handler,12.4%,10,8.4,0.84,25%,Below Average,4,3,7,42.6%,47.9%,20.1%,11.2%,7.4%,"38.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Post-Up,10.9%,8.8,6.9,0.781,72%,Very Good,3.8,2.4,6.2,39.3%,39.3%,13.9%,17.3%,13.5%,"39.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Cut,7.3%,5.9,6.5,1.114,42%,Average,1.9,2.9,4.7,60.2%,60.2%,10.1%,10.8%,10.1%,"57%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Offensive Rebounds (put backs),6.1%,4.9,5.9,1.203,10%,Poor,1.4,2.1,3.5,58.9%,60%,7.5%,25.6%,20.3%,"60.9%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Off Screen,6%,4.8,4.1,0.854,56%,Good,2.6,1.4,4,34.9%,45%,10%,6.9%,5.4%,"34.6%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Isolation,5%,4,2.4,0.602,94%,Excellent,1.9,0.9,2.7,31.5%,31.5%,19.4%,14.8%,7.4%,"31.5%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,P&R Roll Man,3.1%,2.5,1.8,0.731,91%,Excellent,1.1,0.8,1.9,40.4%,44.2%,16.4%,6%,6%,"35.8%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Hand Off,2.9%,2.3,2.3,0.968,16%,Below Average,0.9,0.8,1.7,47.8%,58.7%,19%,9.5%,7.9%,"41.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Play Types,Miscellaneous,7.4%,6,3.1,0.525,27%,Below Average,0.5,0.6,1.1,56.7%,61.7%,54.9%,27.8%,1.9%,"29%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Offense Including Passes,Isolations Including Passes,6.9%,5.6,4.1,0.74,82%,Very Good,2.5,1.4,3.9,36.8%,41%,18.7%,12.7%,7.3%,"34.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Offense Including Passes,Pick and Rolls Including Passes,20.8%,16.8,14.3,0.852,51%,Good,7.1,5.3,12.4,42.9%,49.1%,18.1%,9.3%,7.1%,"38.6%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Offense Including Passes,Post-Ups Including Passes,14.2%,11.4,9.9,0.861,59%,Good,5.1,3.5,8.7,40.6%,44.2%,11.7%,14.2%,10.7%,"40.8%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,During Pass Out Situations,ISO - Defense Commits,1.9%,1.6,1.7,1.095,28%,Below Average,0.6,0.6,1.2,48.5%,62.1%,16.7%,7.1%,7.1%,"42.9%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,During Pass Out Situations,P&R BH - Defense Commits,10.2%,8.2,6,0.73,79%,Very Good,3.1,2.3,5.4,43.2%,50.7%,29.3%,5.9%,5.4%,"32.4%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,During Pass Out Situations,Post-Up - Defense Commits,3.3%,2.7,3,1.125,31%,Average,1.4,1.1,2.4,43.9%,56.8%,4.2%,4.2%,1.4%,"44.4%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,During Trapping Situations,P&R BH - Traps,0.2%,0.1,0.3,2,-,-,0,0.1,0.1,100%,133.3%,25%,0%,0%,"75%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,During Trapping Situations,Post-Up - Hard Double,1.4%,1.1,0.9,0.833,48%,Average,0.4,0.3,0.8,42.9%,52.4%,20%,13.3%,10%,"33.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots,50.1%,24.5,24.9,1.017,15%,Below Average,15.2,9.3,24.5,38%,50.7%,0%,0.5%,0.5%,"38%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.8%,1.9,2,1.06,3%,Poor,1.1,0.7,1.9,40%,53%,0%,0%,0%,"40%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Runner,5.3%,2.6,1.9,0.743,49%,Average,1.6,1,2.6,37.1%,37.1%,0%,0%,0%,"37.1%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0.1,1.333,-,-,<0.1,0.1,0.1,66.7%,66.7%,0%,0%,0%,"66.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),31.9%,15.6,17.4,1.114,50%,Average,7.1,8.5,15.6,54.4%,54.4%,0%,4.5%,4.5%,"54.4%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups,12.7%,6.2,5,0.804,92%,Excellent,3.8,2.4,6.2,39.3%,39.3%,0%,3%,3%,"39.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.4%,0.2,0,0,-,-,0.2,0,0.2,0%,0%,0%,0%,0%,"0%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Catch and Shoot - Half Court,Catch and Shoot,30.5%,14.9,16.6,1.114,13%,Poor,9.1,5.8,14.9,38.7%,55.7%,0%,0%,0%,"38.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Catch and Shoot - Half Court,Guarded,46.4%,6.9,7.1,1.021,27%,Below Average,4.5,2.4,6.9,35.3%,51.1%,0%,0%,0%,"35.3%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Catch and Shoot - Half Court,Unguarded,53.6%,8,9.6,1.194,22%,Below Average,4.7,3.3,8,41.7%,59.7%,0%,0%,0%,"41.7%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,17.1%,8.4,7.3,0.867,20%,Below Average,5.3,3.1,8.4,37.2%,43.1%,0%,0.9%,0.9%,"37.2%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Jump Shot Range - half court,Short (<17'),19.4%,4.7,3.8,0.805,32%,Average,2.9,1.9,4.7,39.8%,39.8%,0%,0.8%,0.8%,"39.8%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),13.3%,3.3,2.4,0.739,40%,Average,2.1,1.2,3.3,36.4%,36.4%,0%,1.1%,1.1%,"36.4%
"
Benedictine (IL) Eagles,2019-2-12,Defensive,Jump Shot Range - half court,Long (3 point jump shots),67.3%,16.5,18.7,1.133,8%,Poor,10.3,6.2,16.5,37.8%,56.6%,0%,0.2%,0.2%,"37.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Overall,100%,83.6,71.3,0.853,73%,Very Good,37.3,25.9,63.1,41%,46.8%,14.8%,11.8%,8.6%,"39.2%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Transition,17.1%,14.3,12.2,0.852,93%,Excellent,6.4,4.3,10.7,39.8%,47.1%,15.4%,11.9%,10.8%,"38.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Overall Half Court,82.9%,69.3,59.1,0.853,56%,Good,30.8,21.6,52.5,41.2%,46.8%,14.7%,11.8%,8.2%,"39.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Short Shot Clock <4 Seconds,3.9%,3.3,2.1,0.641,65%,Very Good,2,0.9,2.8,30.9%,33.1%,7.7%,7.7%,6.4%,"30.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Out of Bounds (End),7.6%,5.3,3.3,0.63,97%,Excellent,2.7,1.3,4,33%,36.6%,18.1%,7.9%,7.9%,"29.1%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Out of Bounds (Side),4.4%,3.1,2.4,0.77,62%,Good,1.5,0.8,2.3,33.3%,38.9%,16.2%,12.2%,9.5%,"35.1%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,After Time Outs,12%,8.3,6.3,0.754,85%,Excellent,4.1,2.3,6.5,36.1%,41%,15.1%,8.5%,7%,"34.2%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Man Defense,97.2%,67.4,57.5,0.854,53%,Good,29.9,21.1,51,41.3%,46.9%,14.7%,11.8%,8.1%,"39.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Zone Defense,2.8%,1.9,1.5,0.804,85%,Excellent,0.9,0.5,1.5,37.1%,42.9%,15.2%,10.9%,10.9%,"37%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Overall Defense,Press Defense,7.6%,5.3,4,0.754,75%,Very Good,2.5,1.4,3.9,36.6%,40.9%,15.1%,11.9%,7.1%,"35.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Spot Up,19.5%,16.3,13.6,0.836,87%,Excellent,9.1,4.7,13.8,34%,44%,9.2%,6.9%,4.9%,"34.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Transition,17.1%,14.3,12.2,0.852,93%,Excellent,6.4,4.3,10.7,39.8%,47.1%,15.4%,11.9%,10.8%,"38.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,P&R Ball Handler,13.8%,11.5,10,0.873,17%,Below Average,5.2,3.8,9,42.1%,47.5%,15.9%,9.1%,9.1%,"38.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Cut,7.1%,6,6.6,1.112,44%,Average,1.8,2.8,4.5,61.5%,61.5%,11.2%,18.2%,16.8%,"57.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Post-Up,7%,5.9,4.3,0.73,86%,Excellent,2.8,1.6,4.4,37.1%,37.1%,14.2%,12.8%,9.2%,"36.9%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Offensive Rebounds (put backs),6.8%,5.7,6.2,1.08,42%,Average,2,2.4,4.4,55.2%,56.2%,7.3%,17.5%,13.1%,"54.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,P&R Roll Man,5.8%,4.9,4.8,0.974,52%,Good,2.3,1.8,4,44.3%,50%,7.7%,12%,10.3%,"45.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Off Screen,5.8%,4.9,5,1.026,16%,Below Average,2.5,1.8,4.3,42.3%,54.3%,6.8%,5.1%,5.1%,"41%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Isolation,5.7%,4.8,3,0.623,91%,Excellent,2.3,1.2,3.4,34.1%,34.8%,17.5%,14.9%,12.3%,"30.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Hand Off,4.3%,3.6,2.5,0.698,81%,Very Good,2.3,0.9,3.3,28.2%,34%,4.7%,5.8%,3.5%,"29.1%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Play Types,Miscellaneous,7%,5.9,3.1,0.532,25%,Below Average,0.7,0.6,1.3,45.2%,50%,54.6%,24.1%,1.4%,"29.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Offense Including Passes,Isolations Including Passes,7.6%,6.3,4.8,0.75,80%,Very Good,2.9,1.9,4.8,39.1%,42.6%,15.1%,12.5%,9.9%,"34.9%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Offense Including Passes,Pick and Rolls Including Passes,25.3%,21.1,19,0.899,29%,Below Average,9.6,7.1,16.8,42.5%,48.8%,13.8%,9.5%,8.5%,"40%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Offense Including Passes,Post-Ups Including Passes,8.9%,7.4,6,0.809,79%,Very Good,3.4,2.3,5.7,40.1%,42.7%,13.5%,11.2%,8.4%,"38.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,During Pass Out Situations,ISO - Defense Commits,1.9%,1.6,1.8,1.132,24%,Below Average,0.7,0.7,1.4,51.5%,62.1%,7.9%,5.3%,2.6%,"47.4%
"
Milwaukee School of Engineering,2019-2-12,Defensive,During Pass Out Situations,P&R BH - Defense Commits,13.2%,11,9,0.811,52%,Good,4.4,3.3,7.8,43%,50.3%,22.6%,8.7%,6.8%,"36.2%
"
Milwaukee School of Engineering,2019-2-12,Defensive,During Pass Out Situations,Post-Up - Defense Commits,1.8%,1.5,1.7,1.108,35%,Average,0.7,0.7,1.3,50%,60.9%,10.8%,5.4%,5.4%,"45.9%
"
Milwaukee School of Engineering,2019-2-12,Defensive,During Trapping Situations,P&R BH - Traps,0.2%,0.2,0.3,1.4,-,-,<0.1,0.1,0.1,66.7%,83.3%,20%,20%,20%,"60%
"
Milwaukee School of Engineering,2019-2-12,Defensive,During Trapping Situations,Post-Up - Hard Double,1.7%,1.5,1.3,0.886,40%,Average,0.7,0.6,1.3,46.7%,51.7%,14.3%,0%,0%,"40%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots,50.7%,26.6,24.2,0.909,70%,Very Good,17.4,9.2,26.6,34.5%,45.5%,0%,0%,0%,"34.5%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.3%,1.7,0.6,0.366,93%,Excellent,1.5,0.3,1.7,14.6%,18.3%,0%,0%,0%,"14.6%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Runner,6.2%,3.3,2.2,0.679,68%,Very Good,2.2,1.1,3.3,33.3%,33.3%,0%,2.6%,2.6%,"33.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.1%,<0.1,0.1,2,-,-,0,<0.1,<0.1,100%,100%,0%,0%,0%,"100%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),34.8%,18.3,20.5,1.121,46%,Average,8.5,9.8,18.3,53.4%,53.4%,0%,7.3%,7.3%,"53.4%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups,8.3%,4.4,3.3,0.762,95%,Excellent,2.8,1.6,4.4,37.1%,37.1%,0%,1.9%,1.9%,"37.1%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.3%,0.2,0.2,1,-,-,0.1,0.1,0.2,50%,50%,0%,0%,0%,"50%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Milwaukee School of Engineering,2019-2-12,Defensive,Catch and Shoot - Half Court,Catch and Shoot,28.3%,14.8,15.2,1.022,50%,Average,9.5,5.3,14.8,35.7%,51.1%,0%,0%,0%,"35.7%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Catch and Shoot - Half Court,Guarded,46.6%,6.9,6.9,0.994,40%,Average,4.5,2.4,6.9,34.3%,49.7%,0%,0%,0%,"34.3%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Catch and Shoot - Half Court,Unguarded,53.4%,7.9,8.3,1.047,66%,Very Good,5,2.9,7.9,36.8%,52.4%,0%,0%,0%,"36.8%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,19.5%,10.2,7.9,0.776,54%,Good,6.8,3.4,10.2,33.5%,38.8%,0%,0%,0%,"33.5%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Jump Shot Range - half court,Short (<17'),18.5%,4.9,3.6,0.729,60%,Good,3.1,1.8,4.9,36.4%,36.4%,0%,0%,0%,"36.4%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Jump Shot Range - half court,Medium (17' to <3 point line),18.5%,4.9,3.1,0.627,72%,Very Good,3.4,1.5,4.9,31.4%,31.4%,0%,0%,0%,"31.4%
"
Milwaukee School of Engineering,2019-2-12,Defensive,Jump Shot Range - half court,Long (3 point jump shots),63%,16.8,17.5,1.045,38%,Average,10.9,5.8,16.8,34.8%,52.2%,0%,0%,0%,"34.8%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Overall,100%,76.2,63.2,0.829,86%,Excellent,34.5,22.7,57.2,39.7%,45%,14.4%,12.1%,8.3%,"38.7%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Transition,16.4%,12.5,10.9,0.871,93%,Excellent,5.1,3.8,8.8,42.6%,47.8%,16.6%,14.1%,11.3%,"41.7%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Overall Half Court,83.6%,63.7,52.3,0.821,79%,Very Good,29.5,18.9,48.4,39.1%,44.5%,13.9%,11.7%,7.7%,"38.2%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Short Shot Clock <4 Seconds,3.7%,2.8,1.2,0.432,97%,Excellent,2,0.5,2.5,18.5%,22.3%,8.1%,4.1%,0%,"20.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Out of Bounds (End),8.9%,5.7,4.5,0.803,63%,Good,2.7,1.6,4.3,36.9%,41.4%,14.3%,11.6%,8.8%,"37.4%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Out of Bounds (Side),4.9%,3.1,2.4,0.765,64%,Good,1.6,0.9,2.5,35.9%,40.6%,8.6%,12.3%,4.9%,"35.8%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,After Time Outs,12.9%,8.2,7.3,0.887,35%,Average,3.4,2.8,6.2,45%,50.9%,14.6%,12.2%,8%,"41.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Man Defense,99.8%,63.6,52.2,0.821,77%,Very Good,29.4,18.9,48.3,39.1%,44.5%,13.9%,11.7%,7.7%,"38.2%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Zone Defense,0.2%,0.1,0.1,0.667,-,-,<0.1,<0.1,0.1,50%,50%,33.3%,0%,0%,"33.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Overall Defense,Press Defense,3.1%,2,1.7,0.863,46%,Average,1,0.5,1.4,32.4%,40.5%,9.8%,17.6%,3.9%,"41.2%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Spot Up,21.6%,16.5,14.3,0.867,77%,Very Good,9.2,5,14.3,35.3%,46.1%,8.2%,5.6%,4%,"35%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Transition,16.4%,12.5,10.9,0.871,93%,Excellent,5.1,3.8,8.8,42.6%,47.8%,16.6%,14.1%,11.3%,"41.7%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,P&R Ball Handler,11.1%,8.5,6.2,0.727,67%,Very Good,3.9,2.2,6.2,36.3%,39.7%,17.3%,11.8%,9.1%,"35.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Cut,9.5%,7.2,7.7,1.069,59%,Good,2.7,3.2,5.8,54.6%,54.6%,6.4%,15.4%,12.8%,"55.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Post-Up,8.9%,6.8,5.3,0.79,70%,Very Good,3,2.1,5.2,41%,41%,15.3%,11.4%,8.5%,"39.8%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Off Screen,7.5%,5.7,4.3,0.757,79%,Very Good,3.6,1.5,5.1,28.8%,37.1%,3.4%,8.1%,6.8%,"31.1%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Isolation,6%,4.5,3.6,0.788,48%,Average,2.3,1.2,3.5,33.7%,37%,11%,13.6%,11%,"37.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Offensive Rebounds (put backs),4.8%,3.7,3.8,1.053,51%,Good,1.2,1.6,2.8,58.3%,58.3%,8.4%,17.9%,14.7%,"54.7%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Hand Off,4%,3,2.5,0.835,46%,Average,1.5,0.8,2.4,35.5%,39.5%,11.4%,13.9%,11.4%,"38%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,P&R Roll Man,3.2%,2.4,2.1,0.873,74%,Very Good,1,0.9,1.9,46%,55%,19%,1.6%,1.6%,"36.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Play Types,Miscellaneous,7.1%,5.4,2.3,0.436,67%,Very Good,0.9,0.3,1.3,27.3%,30.3%,51.4%,26.4%,2.9%,"25%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Offense Including Passes,Isolations Including Passes,8.4%,6.4,5.5,0.85,43%,Average,3.3,2,5.3,37%,41.3%,8.4%,11.4%,9.6%,"39.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Offense Including Passes,Pick and Rolls Including Passes,18.5%,14.1,11.2,0.796,77%,Very Good,6.7,4.2,10.8,38.7%,44.3%,15.5%,9%,6.8%,"36.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Offense Including Passes,Post-Ups Including Passes,11.8%,9,7.9,0.88,52%,Good,4,3.1,7.1,43.5%,46.7%,13.7%,10.3%,8.1%,"41.9%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,During Pass Out Situations,ISO - Defense Commits,2.5%,1.9,1.9,1,43%,Average,1,0.8,1.8,43.5%,50%,2%,6.1%,6.1%,"44.9%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,During Pass Out Situations,P&R BH - Defense Commits,8.7%,6.6,5.2,0.785,63%,Good,2.7,2,4.7,41.8%,50.4%,24.4%,5.2%,2.9%,"33.7%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,During Pass Out Situations,Post-Up - Defense Commits,2.9%,2.2,2.6,1.155,26%,Below Average,1,1,1.9,50%,62%,8.6%,6.9%,6.9%,"48.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,During Trapping Situations,P&R BH - Traps,0.5%,0.3,0.3,0.889,-,-,0.2,0.1,0.3,28.6%,42.9%,11.1%,11.1%,0%,"33.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,During Trapping Situations,Post-Up - Hard Double,1.6%,1.2,0.8,0.677,75%,Very Good,0.5,0.2,0.8,30%,35%,22.6%,12.9%,12.9%,"32.3%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots,49.6%,24,20.8,0.869,84%,Excellent,16.2,7.8,24,32.5%,43.3%,0%,0.2%,0.2%,"32.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.3%,1.6,0.9,0.561,65%,Very Good,1.2,0.3,1.6,22%,28%,0%,0%,0%,"22%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Runner,5.1%,2.5,1.4,0.578,91%,Excellent,1.8,0.7,2.5,28.1%,28.1%,0%,1.6%,1.6%,"28.1%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.2%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),34.7%,16.8,17,1.016,87%,Excellent,8.5,8.3,16.8,49.5%,49.5%,0%,4.4%,4.4%,"49.5%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups,10.7%,5.2,4.4,0.851,83%,Excellent,3,2.1,5.2,41%,41%,0%,3.7%,3.7%,"41%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.4%,0.2,0.1,0.4,-,-,0.2,<0.1,0.2,20%,20%,0%,0%,0%,"20%
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Illinois Tech Scarlet Hawks,2019-2-12,Defensive,Catch and Shoot - Half Court,Catch and Shoot,29.7%,14.4,13.5,0.939,84%,Excellent,9.8,4.6,14.4,32.1%,46.9%,0%,0%,0%,"32.1%
"
